Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	18.0	21.0	0	12000	Indian White-eye	indwhe1	0.4371	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	18.0
2	Spectrogram 1	1	27.0	30.0	0	12000	Indian White-eye	indwhe1	0.3179	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	27.0
3	Spectrogram 1	1	30.0	33.0	0	12000	Indian White-eye	indwhe1	0.9438	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	30.0
4	Spectrogram 1	1	33.0	36.0	0	12000	Indian White-eye	indwhe1	0.9894	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	33.0
5	Spectrogram 1	1	36.0	39.0	0	12000	Indian White-eye	indwhe1	0.8636	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	36.0
6	Spectrogram 1	1	39.0	42.0	0	12000	Indian White-eye	indwhe1	0.7751	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	39.0
7	Spectrogram 1	1	42.0	45.0	0	12000	Indian White-eye	indwhe1	0.4527	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	42.0
8	Spectrogram 1	1	51.0	54.0	0	12000	Indian White-eye	indwhe1	0.3234	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	51.0
9	Spectrogram 1	1	54.0	57.0	0	12000	Indian White-eye	indwhe1	0.3659	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	54.0
10	Spectrogram 1	1	57.0	60.0	0	12000	Indian White-eye	indwhe1	0.1684	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	57.0
11	Spectrogram 1	1	60.0	63.0	0	12000	Indian White-eye	indwhe1	0.2595	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	60.0
12	Spectrogram 1	1	63.0	66.0	0	12000	Indian White-eye	indwhe1	0.7719	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	63.0
13	Spectrogram 1	1	69.0	72.0	0	12000	Indian White-eye	indwhe1	0.5020	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	69.0
14	Spectrogram 1	1	81.0	84.0	0	12000	Indian White-eye	indwhe1	0.1283	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	81.0
15	Spectrogram 1	1	84.0	87.0	0	12000	Indian White-eye	indwhe1	0.1535	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	84.0
16	Spectrogram 1	1	93.0	96.0	0	12000	Indian White-eye	indwhe1	0.1166	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	93.0
17	Spectrogram 1	1	99.0	102.0	0	12000	Indian White-eye	indwhe1	0.2529	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	99.0
18	Spectrogram 1	1	105.0	108.0	0	12000	Indian White-eye	indwhe1	0.5917	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	105.0
19	Spectrogram 1	1	108.0	111.0	0	12000	Indian White-eye	indwhe1	0.1041	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	108.0
20	Spectrogram 1	1	111.0	114.0	0	12000	Indian White-eye	indwhe1	0.2041	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	111.0
21	Spectrogram 1	1	114.0	117.0	0	12000	Large-billed Crow	labcro1	0.2570	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	114.0
22	Spectrogram 1	1	123.0	126.0	0	12000	Indian White-eye	indwhe1	0.7219	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	123.0
23	Spectrogram 1	1	123.0	126.0	0	12000	Large-billed Crow	labcro1	0.2036	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	123.0
24	Spectrogram 1	1	126.0	129.0	0	12000	Indian White-eye	indwhe1	0.2236	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	126.0
25	Spectrogram 1	1	135.0	138.0	0	12000	Indian White-eye	indwhe1	0.3113	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	135.0
26	Spectrogram 1	1	141.0	144.0	0	12000	Large-billed Crow	labcro1	0.1639	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	141.0
27	Spectrogram 1	1	144.0	147.0	0	12000	Indian White-eye	indwhe1	0.1846	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	144.0
28	Spectrogram 1	1	165.0	168.0	0	12000	Large-billed Crow	labcro1	0.1668	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	165.0
29	Spectrogram 1	1	165.0	168.0	0	12000	House Crow	houcro1	0.1030	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	165.0
30	Spectrogram 1	1	168.0	171.0	0	12000	Indian White-eye	indwhe1	0.1012	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	168.0
31	Spectrogram 1	1	186.0	189.0	0	12000	Indian White-eye	indwhe1	0.1033	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	186.0
32	Spectrogram 1	1	192.0	195.0	0	12000	Indian White-eye	indwhe1	0.1878	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	192.0
33	Spectrogram 1	1	192.0	195.0	0	12000	Large-billed Crow	labcro1	0.1443	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	192.0
34	Spectrogram 1	1	195.0	198.0	0	12000	Indian White-eye	indwhe1	0.7211	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	195.0
35	Spectrogram 1	1	198.0	201.0	0	12000	Large-billed Crow	labcro1	0.4290	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	198.0
36	Spectrogram 1	1	204.0	207.0	0	12000	Large-billed Crow	labcro1	0.4245	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	204.0
37	Spectrogram 1	1	207.0	210.0	0	12000	Large-billed Crow	labcro1	0.7929	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	207.0
38	Spectrogram 1	1	210.0	213.0	0	12000	Large-billed Crow	labcro1	0.5589	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	210.0
39	Spectrogram 1	1	288.0	291.0	0	12000	Large-billed Crow	labcro1	0.2352	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	288.0
40	Spectrogram 1	1	291.0	294.0	0	12000	Large-billed Crow	labcro1	0.1357	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_161500.wav	291.0
