Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Large-billed Leaf Warbler	lblwar1	0.1572	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	0.0
2	Spectrogram 1	1	12.0	15.0	0	15000	Indian White-eye	indwhe1	0.4269	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	12.0
3	Spectrogram 1	1	21.0	24.0	0	15000	Indian White-eye	indwhe1	0.4561	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	21.0
4	Spectrogram 1	1	24.0	27.0	0	15000	Indian White-eye	indwhe1	0.7071	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	24.0
5	Spectrogram 1	1	27.0	30.0	0	15000	Indian White-eye	indwhe1	0.4461	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	27.0
6	Spectrogram 1	1	30.0	33.0	0	15000	Indian White-eye	indwhe1	0.5690	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	30.0
7	Spectrogram 1	1	33.0	36.0	0	15000	Indian White-eye	indwhe1	0.6199	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	33.0
8	Spectrogram 1	1	36.0	39.0	0	15000	Indian White-eye	indwhe1	0.7686	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	36.0
9	Spectrogram 1	1	39.0	42.0	0	15000	Indian White-eye	indwhe1	0.5840	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	39.0
10	Spectrogram 1	1	42.0	45.0	0	15000	Indian White-eye	indwhe1	0.7749	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	42.0
11	Spectrogram 1	1	45.0	48.0	0	15000	Indian White-eye	indwhe1	0.2152	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	45.0
12	Spectrogram 1	1	48.0	51.0	0	15000	Indian White-eye	indwhe1	0.7526	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	48.0
13	Spectrogram 1	1	51.0	54.0	0	15000	Indian White-eye	indwhe1	0.1390	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	51.0
14	Spectrogram 1	1	54.0	57.0	0	15000	Indian White-eye	indwhe1	0.2885	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	54.0
15	Spectrogram 1	1	57.0	60.0	0	15000	Indian White-eye	indwhe1	0.2166	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	57.0
16	Spectrogram 1	1	60.0	63.0	0	15000	Indian White-eye	indwhe1	0.3519	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	60.0
17	Spectrogram 1	1	66.0	69.0	0	15000	Indian White-eye	indwhe1	0.8213	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	66.0
18	Spectrogram 1	1	69.0	72.0	0	15000	Large-billed Crow	labcro1	0.3782	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	69.0
19	Spectrogram 1	1	72.0	75.0	0	15000	Indian White-eye	indwhe1	0.1392	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	72.0
20	Spectrogram 1	1	78.0	81.0	0	15000	White-cheeked Barbet	whcbar1	0.6837	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	78.0
21	Spectrogram 1	1	81.0	84.0	0	15000	White-cheeked Barbet	whcbar1	0.1465	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	81.0
22	Spectrogram 1	1	84.0	87.0	0	15000	White-cheeked Barbet	whcbar1	0.7775	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	84.0
23	Spectrogram 1	1	87.0	90.0	0	15000	White-cheeked Barbet	whcbar1	0.5333	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	87.0
24	Spectrogram 1	1	93.0	96.0	0	15000	White-cheeked Barbet	whcbar1	0.7274	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	93.0
25	Spectrogram 1	1	96.0	99.0	0	15000	White-cheeked Barbet	whcbar1	0.4697	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	96.0
26	Spectrogram 1	1	99.0	102.0	0	15000	White-cheeked Barbet	whcbar1	0.9794	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	99.0
27	Spectrogram 1	1	102.0	105.0	0	15000	White-cheeked Barbet	whcbar1	0.9198	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	102.0
28	Spectrogram 1	1	105.0	108.0	0	15000	White-cheeked Barbet	whcbar1	0.9889	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	105.0
29	Spectrogram 1	1	108.0	111.0	0	15000	White-cheeked Barbet	whcbar1	0.9849	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	108.0
30	Spectrogram 1	1	111.0	114.0	0	15000	White-cheeked Barbet	whcbar1	0.9879	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	111.0
31	Spectrogram 1	1	114.0	117.0	0	15000	White-cheeked Barbet	whcbar1	0.9792	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	114.0
32	Spectrogram 1	1	117.0	120.0	0	15000	White-cheeked Barbet	whcbar1	0.9698	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	117.0
33	Spectrogram 1	1	120.0	123.0	0	15000	White-cheeked Barbet	whcbar1	0.9906	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	120.0
34	Spectrogram 1	1	123.0	126.0	0	15000	White-cheeked Barbet	whcbar1	0.9103	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	123.0
35	Spectrogram 1	1	123.0	126.0	0	15000	Indian White-eye	indwhe1	0.1179	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	123.0
36	Spectrogram 1	1	126.0	129.0	0	15000	White-cheeked Barbet	whcbar1	0.3294	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	126.0
37	Spectrogram 1	1	129.0	132.0	0	15000	White-cheeked Barbet	whcbar1	0.2723	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	129.0
38	Spectrogram 1	1	132.0	135.0	0	15000	White-cheeked Barbet	whcbar1	0.5572	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	132.0
39	Spectrogram 1	1	135.0	138.0	0	15000	White-cheeked Barbet	whcbar1	0.3489	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	135.0
40	Spectrogram 1	1	138.0	141.0	0	15000	White-cheeked Barbet	whcbar1	0.5053	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	138.0
41	Spectrogram 1	1	141.0	144.0	0	15000	Indian White-eye	indwhe1	0.3498	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	141.0
42	Spectrogram 1	1	141.0	144.0	0	15000	White-cheeked Barbet	whcbar1	0.2962	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	141.0
43	Spectrogram 1	1	144.0	147.0	0	15000	Indian White-eye	indwhe1	0.4078	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	144.0
44	Spectrogram 1	1	144.0	147.0	0	15000	White-cheeked Barbet	whcbar1	0.1424	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	144.0
45	Spectrogram 1	1	144.0	147.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.1065	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	144.0
46	Spectrogram 1	1	147.0	150.0	0	15000	Green Warbler	grnwar1	0.5196	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	147.0
47	Spectrogram 1	1	147.0	150.0	0	15000	Greenish Warbler	grewar3	0.1970	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	147.0
48	Spectrogram 1	1	153.0	156.0	0	15000	Indian White-eye	indwhe1	0.1906	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	153.0
49	Spectrogram 1	1	153.0	156.0	0	15000	Indian Scimitar-Babbler	insbab1	0.1105	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	153.0
50	Spectrogram 1	1	156.0	159.0	0	15000	Indian White-eye	indwhe1	0.2407	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	156.0
51	Spectrogram 1	1	159.0	162.0	0	15000	Large-billed Crow	labcro1	0.1550	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	159.0
52	Spectrogram 1	1	162.0	165.0	0	15000	Large-billed Crow	labcro1	0.6485	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	162.0
53	Spectrogram 1	1	165.0	168.0	0	15000	Large-billed Crow	labcro1	0.4272	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	165.0
54	Spectrogram 1	1	165.0	168.0	0	15000	Indian White-eye	indwhe1	0.3609	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	165.0
55	Spectrogram 1	1	168.0	171.0	0	15000	Indian White-eye	indwhe1	0.3316	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	168.0
56	Spectrogram 1	1	171.0	174.0	0	15000	Indian White-eye	indwhe1	0.8085	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	171.0
57	Spectrogram 1	1	174.0	177.0	0	15000	Indian White-eye	indwhe1	0.9417	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	174.0
58	Spectrogram 1	1	174.0	177.0	0	15000	Greater Flameback	grefla1	0.3345	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	174.0
59	Spectrogram 1	1	177.0	180.0	0	15000	Indian White-eye	indwhe1	0.6492	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	177.0
60	Spectrogram 1	1	180.0	183.0	0	15000	Indian White-eye	indwhe1	0.1501	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	180.0
61	Spectrogram 1	1	183.0	186.0	0	15000	Indian White-eye	indwhe1	0.1153	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	183.0
62	Spectrogram 1	1	186.0	189.0	0	15000	Indian White-eye	indwhe1	0.9252	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	186.0
63	Spectrogram 1	1	186.0	189.0	0	15000	White-cheeked Barbet	whcbar1	0.1593	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	186.0
64	Spectrogram 1	1	189.0	192.0	0	15000	Greater Flameback	grefla1	0.8058	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	189.0
65	Spectrogram 1	1	189.0	192.0	0	15000	Indian White-eye	indwhe1	0.5198	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	189.0
66	Spectrogram 1	1	195.0	198.0	0	15000	Greenish Warbler	grewar3	0.4223	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	195.0
67	Spectrogram 1	1	195.0	198.0	0	15000	Green Warbler	grnwar1	0.1202	F:\Nilgiris_rawdata\C09-01\Data\C09-01_20260215_160000.wav	195.0
