Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.4214	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	0.0
2	Spectrogram 1	1	0.0	3.0	0	15000	White-cheeked Barbet	whcbar1	0.2720	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	0.0
3	Spectrogram 1	1	0.0	3.0	0	15000	Yellow-browed Bulbul	yebbul3	0.1162	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	0.0
4	Spectrogram 1	1	3.0	6.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.7805	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	3.0
5	Spectrogram 1	1	3.0	6.0	0	15000	White-cheeked Barbet	whcbar1	0.1644	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	3.0
6	Spectrogram 1	1	6.0	9.0	0	15000	White-cheeked Barbet	whcbar1	0.1768	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	6.0
7	Spectrogram 1	1	9.0	12.0	0	15000	White-cheeked Barbet	whcbar1	0.7096	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	9.0
8	Spectrogram 1	1	12.0	15.0	0	15000	Gray Junglefowl	grejun2	0.9682	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	12.0
9	Spectrogram 1	1	15.0	18.0	0	15000	White-cheeked Barbet	whcbar1	0.4099	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	15.0
10	Spectrogram 1	1	15.0	18.0	0	15000	Gray Junglefowl	grejun2	0.3259	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	15.0
11	Spectrogram 1	1	18.0	21.0	0	15000	White-cheeked Barbet	whcbar1	0.7228	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	18.0
12	Spectrogram 1	1	21.0	24.0	0	15000	White-cheeked Barbet	whcbar1	0.8517	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	21.0
13	Spectrogram 1	1	21.0	24.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.6889	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	21.0
14	Spectrogram 1	1	24.0	27.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.6808	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	24.0
15	Spectrogram 1	1	24.0	27.0	0	15000	White-cheeked Barbet	whcbar1	0.2695	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	24.0
16	Spectrogram 1	1	27.0	30.0	0	15000	Gray Junglefowl	grejun2	0.9292	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	27.0
17	Spectrogram 1	1	30.0	33.0	0	15000	Gray Junglefowl	grejun2	0.8989	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	30.0
18	Spectrogram 1	1	33.0	36.0	0	15000	Gray Junglefowl	grejun2	0.8648	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	33.0
19	Spectrogram 1	1	33.0	36.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.2514	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	33.0
20	Spectrogram 1	1	36.0	39.0	0	15000	Gray Junglefowl	grejun2	0.9563	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	36.0
21	Spectrogram 1	1	39.0	42.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.8963	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	39.0
22	Spectrogram 1	1	42.0	45.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.2396	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	42.0
23	Spectrogram 1	1	45.0	48.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.9975	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	45.0
24	Spectrogram 1	1	48.0	51.0	0	15000	Gray Junglefowl	grejun2	0.9894	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	48.0
25	Spectrogram 1	1	51.0	54.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.3261	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	51.0
26	Spectrogram 1	1	51.0	54.0	0	15000	Indian Scimitar-Babbler	insbab1	0.1267	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	51.0
27	Spectrogram 1	1	54.0	57.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.9786	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	54.0
28	Spectrogram 1	1	54.0	57.0	0	15000	Puff-throated Babbler	putbab1	0.2386	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	54.0
29	Spectrogram 1	1	57.0	60.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.9905	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	57.0
30	Spectrogram 1	1	63.0	66.0	0	15000	Gray Junglefowl	grejun2	0.9059	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	63.0
31	Spectrogram 1	1	63.0	66.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.4229	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	63.0
32	Spectrogram 1	1	66.0	69.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.6274	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	66.0
33	Spectrogram 1	1	66.0	69.0	0	15000	Puff-throated Babbler	putbab1	0.5491	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	66.0
34	Spectrogram 1	1	66.0	69.0	0	15000	Gray Junglefowl	grejun2	0.3251	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	66.0
35	Spectrogram 1	1	69.0	72.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.8909	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	69.0
36	Spectrogram 1	1	72.0	75.0	0	15000	Gray Junglefowl	grejun2	0.9660	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	72.0
37	Spectrogram 1	1	75.0	78.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.3471	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	75.0
38	Spectrogram 1	1	75.0	78.0	0	15000	Gray Junglefowl	grejun2	0.1906	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	75.0
39	Spectrogram 1	1	78.0	81.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.8350	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	78.0
40	Spectrogram 1	1	78.0	81.0	0	15000	Puff-throated Babbler	putbab1	0.1140	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	78.0
41	Spectrogram 1	1	81.0	84.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.5322	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	81.0
42	Spectrogram 1	1	84.0	87.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.7587	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	84.0
43	Spectrogram 1	1	84.0	87.0	0	15000	Yellow-browed Bulbul	yebbul3	0.1274	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	84.0
44	Spectrogram 1	1	87.0	90.0	0	15000	Gray Junglefowl	grejun2	0.5784	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	87.0
45	Spectrogram 1	1	87.0	90.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.1388	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	87.0
46	Spectrogram 1	1	93.0	96.0	0	15000	Yellow-browed Bulbul	yebbul3	0.5782	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	93.0
47	Spectrogram 1	1	93.0	96.0	0	15000	Brown-cheeked Fulvetta	brcful1	0.2093	F:\Nilgiris_rawdata\A11-02\Data\A11-02_20260214_080003.wav	93.0
